Daily Crime and Fire Log 01/07/2022 UCI Campus,,,,,
Nature,Case #,Reported,Occurred,Location,Disposition
DUI Alcohol/0.08 Percent,21-1773,12/11/2021 04:41,12/11/2021  04:30,"California Av/Campus Dr, Irvine",Pending 12/11/2021
Extortion,21-1771,12/10/2021 21:18,12/10/2021  18:30 - 19:00,"Mesa Court Housing, 4045 Mesa Rd, Irvine",Inactive 12/10/2021
Rape,21-1769,12/10/2021 15:51,"03/01/2021 - 03/31/2021, Unknown Time","Campus General Area, 1 W Peltason Dr, Irvine",Information Only 12/11/2021
Grand Theft:Money/Prop/Etc $950+,21-1768,12/10/2021 14:10,12/09/2021  23:00 - 12/10/2021 14:00,"Camino Del Sol Lodge, 33000 Arroyo Dr, Irvine",Inactive 12/10/2021
Grand Theft:Money/Prop/Etc $950+,21-1767,12/10/2021 13:49,12/08/2021  19:30 - 12/10/2021 13:15,"633 Vista Del Campo, 63300 Arroyo Dr, Irvine",Inactive 12/10/2021
Petty Theft,21-1766,12/10/2021 12:11,12/09/2021  22:00 - 12/10/2021 12:00,"Mesa Court Housing, 4077 Mesa Rd, Irvine",Inactive 12/10/2021
Vandalism: Less thn $400/Damages,21-1766,12/10/2021 12:11,12/09/2021  22:00 - 12/10/2021 12:00,"Mesa Court Housing, 4077 Mesa Rd, Irvine",Inactive 12/10/2021
Grand Theft:Money/Prop/Etc $950+,21-1765,12/10/2021 07:29,12/09/2021  21:00 - 12/10/2021 07:00,"618 Vista Del Campo, 61800 Arroyo Dr, Irvine",Inactive 12/10/2021
Poss Controlled Substance (M),21-1764,12/09/2021 22:35,12/09/2021  22:35,"Campus Dr/University Dr, Irvine",Cleared By Adult Arrest 12/10/2021
Possess Unlawful Paraphernalia,21-1764,12/09/2021 22:35,12/09/2021  22:35,"Campus Dr/University Dr, Irvine",Cleared By Adult Arrest 12/10/2021
Petty Theft,21-1763,12/09/2021 14:54,12/08/2021  21:00 - 12/09/2021 11:30,"1003 W Peltason Dr, Irvine",Pending 12/09/2021
Theft:False Pretenses-Over $400,21-1761,12/09/2021 08:30,12/08/2021  17:00,"7313 Palo Verde Rd, Irvine",Pending 12/09/2021
Petty Theft,21-1755,12/07/2021 16:41,11/29/2021  11:00 - 12/07/2021 14:30,"Vista Del Campo Maintenance Bldg, 64200 Arroyo Dr, Irvine",Inactive 12/07/2021
Vandalism: Less thn $400/Damages,21-1755,12/07/2021 16:41,11/29/2021  11:00 - 12/07/2021 14:30,"Vista Del Campo Maintenance Bldg, 64200 Arroyo Dr, Irvine",Inactive 12/07/2021
Petty Theft,21-1752,12/07/2021 12:05,12/04/2021  17:00 - 12/06/2021 20:00,"Niebla, 4059 Mesa Rd, Irvine",Inactive 12/07/2021
Petty Theft,21-1749,12/07/2021 09:13,12/06/2021  17:30 - 12/07/2021 08:45,"Mesa Court Housing, 4001 Mesa Rd, Irvine",Inactive 12/07/2021
Sexual Assault,21-1750,12/07/2021,12/04/2021 - 12/05/2021,"Campus General Area, Irvine",Information Report Only 12/07/2021
Grand Theft:Money/Prop/Etc $950+,21-1745,12/06/2021 17:34,12/06/2021  15:15 - 17:15,"Irvine Hall, 835 Medical Sciences Quad, Irvine",Pending 12/06/2021
Petty Theft,21-1741,12/06/2021 11:04,11/18/2021  15:00 - 12/05/2021 12:00,"Verano Housing, 6247 Adobe Circle Rd South, Irvine",Inactive 12/06/2021
Petty Theft,21-1736,12/05/2021 14:06,12/04/2021  12:00 - 21:00,"641 Vista Del Campo, 64111 Arroyo Dr, Irvine",Inactive 12/05/2021
Tamper With Vehicle,21-1734,12/05/2021 05:02,12/05/2021  04:59,"22 Truth St, Irvine",Inactive 12/05/2021
Attempted Grand Theft,21-1734,12/05/2021 05:02,12/05/2021  04:59,"22 Truth St, Irvine",Inactive 12/05/2021
Vandalism: Less thn $400/Damages,21-1733,12/04/2021 18:22,12/04/2021  16:30 - 17:30,"628 Vista Del Campo, 62800 Arroyo Dr, Irvine",Pending 12/04/2021
Assault On Person,21-1733,12/04/2021 18:22,12/04/2021  16:30 - 17:30,"628 Vista Del Campo, 62800 Arroyo Dr, Irvine",Pending 12/04/2021
Petty Theft,21-1724,12/03/2021 15:44,12/03/2021  07:30 - 15:44,"Medical Surge 2, 812 Medical Plaza Dr, Irvine",Inactive 12/03/2021
Petty Theft,21-1722,12/03/2021 12:07,12/01/2021  05:29,"77 Schubert Ct, Irvine",Pending 12/03/2021
Petty Theft,21-1719,12/02/2021 15:10,11/28/2021  15:00 - 19:00,"Palo Verde Housing, 3202 Palo Verde Rd, Irvine",Pending 12/03/2021
Burglary,21-1718,12/02/2021 14:51,11/25/2021  12:00 - 11/30/2021 08:00,"Social And Behavioral Sciences Gateway, 214 Social Sciences Quad, Irvine",Pending 12/02/2021
Hit & Run Prop Damage:Notify/Etc,21-1716,12/02/2021 12:55,12/02/2021  08:25 - 11:50,"Social Science Parking Structure, 4300 Campus Dr, Irvine",Pending 12/02/2021
Petty Theft,21-1707,12/01/2021 08:01,11/30/2021  10:00 - 12/01/2021 07:50,"62522 Arroyo Dr, Irvine",Inactive 12/01/2021
Vandalism: Less thn $400/Damages,21-1707,12/01/2021 08:01,11/30/2021  10:00 - 12/01/2021 07:50,"62522 Arroyo Dr, Irvine",Inactive 12/01/2021
Grand Theft:Money/Prop/Etc $950+,21-1701,11/30/2021 18:38,11/30/2021  10:55 - 18:25,"Social Ecology 2, 215 Social Sciences Quad, Irvine",Inactive 11/30/2021
Vandalism: Less thn $400/Damages,21-1701,11/30/2021 18:38,11/30/2021  10:55 - 18:25,"Social Ecology 2, 215 Social Sciences Quad, Irvine",Inactive 11/30/2021
Petty Theft,21-1698,11/30/2021 14:34,11/29/2021  11:00 - 11/30/2021 14:30,"Palo Verde, 8420 Palo Verde Rd, Irvine",Inactive 11/30/2021
Vandalism: Less thn $400/Damages,21-1698,11/30/2021 14:34,11/29/2021  11:00 - 11/30/2021 14:30,"Palo Verde, 8420 Palo Verde Rd, Irvine",Inactive 11/30/2021
Petty Theft,21-1696,11/29/2021 18:39,11/27/2021  18:00 - 11/29/2021 16:00,"Vista Del Campo, 63912 Arroyo Dr, Irvine",Inactive 11/29/2021
Petty Theft,21-1695,11/29/2021 16:22,11/28/2021  10:00 - 11/29/2021 16:17,"63931 Arroyo Dr, Irvine",Inactive 11/29/2021
Vandalism: Less thn $400/Damages,21-1695,11/29/2021 16:22,11/28/2021  10:00 - 11/29/2021 16:17,"63931 Arroyo Dr, Irvine",Inactive 11/29/2021
